R (kpc),R error (kpc),Vc (km/s),Vc error (km/s),Fitted Vc (km/s)
0.22,0.01,163.24,15.61,175.78
0.65,0.19,210.95,18.56,220.61
1.86,0.02,223.8,10.72,223.43
3.19,0.02,226.79,7.96,227.33
4.23,0.02,213.74,8.17,221.38
5.32,0.02,221.94,7.2,224.04
6.27,0.02,221.94,7.2,224.04
7.2,0.02,225.97,9.22,224.28
8.02,0.02,223.57,10.11,224.23
9.14,0.02,225.09,9.69,224.18
9.93,0.02,222.96,10.92,224.25
10.62,0.01,221.25,10.24,222.44
11.25,0.01,221.17,11.16,221.79
11.83,0.01,213.58,9.75,221.17
12.48,0.01,215.04,12.67,220.61
13.37,0.02,215.12,12.82,220.61
14.29,0.02,217.92,13.52,218.48
15.02,0.02,215.97,10.93,217.63
16.07,0.02,223.22,13.07,216.67
17.21,0.03,213.32,13.34,216.67
18.31,0.03,213.85,15.37,214.64
19.38,0.03,199.73,15.19,213.76
8.88,1.08,233.09,32.4,223.92
11.55,0.77,217.54,35.26,221.42
13.55,0.57,230.53,35.63,219.28
15.57,0.53,223.01,36.09,217.9
16.91,0.62,212.36,36.67,215.88
18.68,0.54,204.36,37.16,214.55
20.42,0.62,220.27,37.18,212.98
21.61,0.63,213.55,35.58,211.62
24.12,0.67,219.28,36.73,210.51
26.16,0.67,217.59,37.06,209.42
28.23,0.68,222.84,37.89,208.08
31.28,0.87,208.32,38.76,206.68
34.26,1.19,224.85,36.08,205.53
39.56,2.21,221.84,36.68,203.53
42.51,1.42,185.33,38.15,201.38
50.02,1.63,182.02,38.15,199.92
52.08,1.68,203.53,36.19,198.55
58.74,1.67,202.85,42.23,195.47
69.48,1.95,192.59,42.23,195.55
98.74,4.19,202.92,40.67,181.47
123.56,11.6,168.53,41.34,179.31
