Cluster,Chi2_min,M200,c,rho_s,r_s,M_bar,M_DM,M_tot,Perc_DM
Abell0080,0.0899,40290380404651.8047,4.4417,905020.6122,159.2094,12640204066034.3828,156901884792359.7188,169542088858394.0938,92.5445
Abell0118,0.0628,699784507167857.8750,3.4191,508799.4417,535.6274,97886142136070.1562,1007067888821525.5000,1104954030957595.6250,91.1412
Abell0380,1.8886,7357894305325303808.0000,1.5752,106008.7218,25471.2287,174118519345173920.0000,372909684705607168.0000,547028204050781120.0000,68.1701
Abell0487,1.3720,2744310090806557696.0000,1.7130,124293.8771,16859.3004,78499665309970240.0000,204690796736474112.0000,283190462046444352.0000,72.2803
Abell2734,0.2889,1437703186278616.0000,3.2930,469238.3865,707.0052,179678766241472.7188,1642563028738529.2500,1822241794980002.0000,90.1397
Abell2778,0.5201,259858580867038048.0000,2.0898,183169.7210,6298.7667,11117651796201378.0000,45173375983483712.0000,56291027779685088.0000,80.2497
Abell2799,0.1820,70357245408757.7109,4.2382,814964.4052,200.9308,16201877419279.9766,220180180603459.3125,236382058022739.2812,93.1459
Abell2800,0.0610,62978026011062.9766,4.2787,832420.7746,191.8122,17319742508947.4941,212131751368781.1875,229451493877728.6875,92.4517
Abell2819,0.0004,22351924889278.9531,4.6202,988753.4504,125.7679,6998899495661.9824,103049855736807.3281,110048755232469.3125,93.6402
Abell2854,0.0014,67736441178229.0078,4.2552,822287.5794,197.6091,17633458489395.9648,220361439066824.7188,237994897556220.6875,92.5908
Abell2871,0.8218,50579403725719568.0000,2.3796,237826.0692,3205.8802,3151977974210151.5000,16692682147594384.0000,19844660121804536.0000,84.1167
Abell2911,3.0249,2265226141847232512.0000,1.7589,130754.4723,15402.4572,67730856392032528.0000,182941773094493376.0000,250672629486525920.0000,72.9804
Abell3864,3.1575,595112955776642176.0000,1.9701,163016.0276,8806.9013,23030253573428852.0000,79747024515188544.0000,102777278088617392.0000,77.5921
Abell3921,0.0260,597219058688288.8750,3.4961,533921.4081,496.8704,88798624674512.8438,915402209282978.6250,1004200833957491.5000,91.1573
Abell4067,1.7423,4291571235671124992.0000,1.6542,116289.6857,20264.4251,112932084991547664.0000,269556049927203392.0000,382488134918751040.0000,70.4744
coma_data,1.6833,3367029203052607.0000,3.1182,417592.6976,991.5162,308370501177842.0625,2526953927137232.0000,2835324428315074.0000,89.1240
